1999,{'113': 0.17102055878309386, 'Rohff': 0.21782617264485613, 'Neg’ Marrons': 0.2661472448057814, 'Pit Baccardi': 0.2140703516079674, 'Koma (FRA)': 0.10542294557695882}
2000,{'Lunatic': 0.15321236184503823, 'Neg’ Marrons': 0.17668756250734222, 'Bouga': 0.022222222222222223, 'Nuttea': 0.20291283749033556, 'Scred Connexion': 0.08496732026143791}
2001,{'MC Solaar': 0.1857887392957427, 'Fonky Family': 0.14507453244563034, 'Oxmo Puccino': 0.21316975530410529, 'Sniper': 0.2069315767753261, 'Rohff': 0.21508107916662184}
2002,{'Booba': 0.2271894201242426, 'Sniper': 0.14583333333333334, 'Mafia K’1 Fry': 0.29464285714285715, 'MC Solaar': 0.21428571428571427, 'Psy 4 de la Rime': 0.24851517434591325}
2003,{'Sniper': 0.18715922706808547, 'Stupeflip': 0.13825335976724254, 'Mafia K’1 Fry': 0.29678401019100453, 'Tandem': 0.17523584905660378, 'Booba': 0.3141811211664153}
